AGGLOMÉRATIONS (unités urbaines au sens de l'INSEE)	DÉPARTEMENTS	COMMUNES	CODE INSEE
Ajaccio	2A	Afa	2A001
Ajaccio	2A	Ajaccio	2A004
Ajaccio	2A	Alata	2A006
Ajaccio	2A	Appietto	2A017
Ajaccio	2A	Sarrola-Carcopino	2A271
Annecy	74	Annecy	74010
Annecy	74	Argonay	74019
Annecy	74	La Balme-de-Sillingy	74026
Annecy	74	Chavanod	74067
Annecy	74	Chevaline	74072
Annecy	74	Doussard	74104
Annecy	74	Duingt	74108
Annecy	74	Epagny Metz-Tessy	74112
Annecy	74	Lathuile	74147
Annecy	74	Lovagny	74152
Annecy	74	Poisy	74213
Annecy	74	Saint-Jorioz	74242
Annecy	74	Sevrier	74267
Annecy	74	Sillingy	74272
Arles	13	Arles	13004
Arles	30	Fourques	30117
Avignon	13	Barbentane	13010
Avignon	13	Cabannes	13018
Avignon	13	Châteaurenard	13027
Avignon	13	Eygalières	13034
Avignon	13	Eyragues	13036
Avignon	13	Graveson	13045
Avignon	13	Maillane	13052
Avignon	13	Mollégès	13064
Avignon	13	Noves	13066
Avignon	13	Plan-d'Orgon	13076
Avignon	13	Rognonas	13083
Avignon	13	Saint-Andiol	13089
Avignon	13	Verquières	13116
Avignon	30	Les Angles	30011
Avignon	30	Villeneuve-lès-Avignon	30351
Avignon	84	Althen-des-Paluds	84001
Avignon	84	Aubignan	84004
Avignon	84	Avignon	84007
Avignon	84	Beaumes-de-Venise	84012
Avignon	84	Beaumettes	84013
Avignon	84	Bédarrides	84016
Avignon	84	Cabrières-d'Avignon	84025
Avignon	84	Caderousse	84027
Avignon	84	Caromb	84030
Avignon	84	Carpentras	84031
Avignon	84	Cavaillon	84035
Avignon	84	Châteauneuf-de-Gadagne	84036
Avignon	84	Cheval-Blanc	84038
Avignon	84	Courthézon	84039
Avignon	84	Entraigues-sur-la-Sorgue	84043
Avignon	84	Gordes	84050
Avignon	84	Goult	84051
Avignon	84	L'Isle-sur-la-Sorgue	84054
Avignon	84	Jonquerettes	84055
Avignon	84	Jonquières	84056
Avignon	84	Lagnes	84062
Avignon	84	Loriol-du-Comtat	84067
Avignon	84	Maubec	84071
Avignon	84	Mazan	84072
Avignon	84	Ménerbes	84073
Avignon	84	Modène	84077
Avignon	84	Monteux	84080
Avignon	84	Morières-lès-Avignon	84081
Avignon	84	Oppède	84086
Avignon	84	Orange	84087
Avignon	84	Pernes-les-Fontaines	84088
Avignon	84	Le Pontet	84092
Avignon	84	Robion	84099
Avignon	84	Saint-Didier	84108
Avignon	84	Saint-Pantaléon	84114
Avignon	84	Saint-Saturnin-lès-Avignon	84119
Avignon	84	Sarrians	84122
Avignon	84	Saumane-de-Vaucluse	84124
Avignon	84	Sorgues	84129
Avignon	84	Taillades	84131
Avignon	84	Le Thor	84132
Avignon	84	Fontaine-de-Vaucluse	84139
Avignon	84	Vedène	84141
Avignon	84	Velleron	84142
Bailly-Romainvilliers	77	Bailly-Romainvilliers	77018
Bailly-Romainvilliers	77	Condé-Sainte-Libiaire	77125
Bailly-Romainvilliers	77	Couilly-Pont-aux-Dames	77128
Bailly-Romainvilliers	77	Coupvray	77132
Bailly-Romainvilliers	77	Coutevroult	77141
Bailly-Romainvilliers	77	Crécy-la-Chapelle	77142
Bailly-Romainvilliers	77	Esbly	77171
Bailly-Romainvilliers	77	Isles-lès-Villenoy	77232
Bailly-Romainvilliers	77	Magny-le-Hongre	77268
Bailly-Romainvilliers	77	Montry	77315
Bailly-Romainvilliers	77	Quincy-Voisins	77382
Bailly-Romainvilliers	77	Saint-Germain-sur-Morin	77413
Bailly-Romainvilliers	77	Villiers-sur-Morin	77521
Bailly-Romainvilliers	77	Voulangis	77529
Bastia	2B	Bastia	2B033
Bastia	2B	Biguglia	2B037
Bastia	2B	Brando	2B043
Bastia	2B	Furiani	2B120
Bastia	2B	San-Martino-di-Lota	2B305
Bastia	2B	Santa-Maria-di-Lota	2B309
Bastia	2B	Ville-di-Pietrabugno	2B353
Bayonne (partie française)	40	Saint-André-de-Seignanx	40248
Bayonne (partie française)	40	Saint-Martin-de-Seignanx	40273
Bayonne (partie française)	40	Tarnos	40312
Bayonne (partie française)	64	Ahetze	64009
Bayonne (partie française)	64	Anglet	64024
Bayonne (partie française)	64	Arbonne	64035
Bayonne (partie française)	64	Arcangues	64038
Bayonne (partie française)	64	Ascain	64065
Bayonne (partie française)	64	Bassussarry	64100
Bayonne (partie française)	64	Bayonne	64102
Bayonne (partie française)	64	Biarritz	64122
Bayonne (partie française)	64	Bidart	64125
Bayonne (partie française)	64	Biriatou	64130
Bayonne (partie française)	64	Boucau	64140
Bayonne (partie française)	64	Cambo-les-Bains	64160
Bayonne (partie française)	64	Ciboure	64189
Bayonne (partie française)	64	Espelette	64213
Bayonne (partie française)	64	Guéthary	64249
Bayonne (partie française)	64	Halsou	64255
Bayonne (partie française)	64	Hendaye	64260
Bayonne (partie française)	64	Jatxou	64282
Bayonne (partie française)	64	Lahonce	64304
Bayonne (partie française)	64	Larressore	64317
Bayonne (partie française)	64	Mouguerre	64407
Bayonne (partie française)	64	Saint-Jean-de-Luz	64483
Bayonne (partie française)	64	Saint-Pierre-d'Irube	64496
Bayonne (partie française)	64	Urcuit	64540
Bayonne (partie française)	64	Urrugne	64545
Bayonne (partie française)	64	Ustaritz	64547
Bayonne (partie française)	64	Villefranque	64558
Bordeaux	33	Ambarès-et-Lagrave	33003
Bordeaux	33	Artigues-près-Bordeaux	33013
Bordeaux	33	Arveyres	33015
Bordeaux	33	Val de Virvée	33018
Bordeaux	33	Bassens	33032
Bordeaux	33	Baurech	33033
Bordeaux	33	Bègles	33039
Bordeaux	33	Beychac-et-Caillau	33049
Bordeaux	33	Blanquefort	33056
Bordeaux	33	Bonnetan	33061
Bordeaux	33	Bordeaux	33063
Bordeaux	33	Bouliac	33065
Bordeaux	33	Le Bouscat	33069
Bordeaux	33	Bruges	33075
Bordeaux	33	Cadarsac	33079
Bordeaux	33	Cadaujac	33080
Bordeaux	33	Cambes	33084
Bordeaux	33	Camblanes-et-Meynac	33085
Bordeaux	33	Canéjan	33090
Bordeaux	33	Carbon-Blanc	33096
Bordeaux	33	Carignan-de-Bordeaux	33099
Bordeaux	33	Cénac	33118
Bordeaux	33	Cenon	33119
Bordeaux	33	Cestas	33122
Bordeaux	33	Cubzac-les-Ponts	33143
Bordeaux	33	Eysines	33162
Bordeaux	33	Fargues-Saint-Hilaire	33165
Bordeaux	33	Floirac	33167
Bordeaux	33	Gradignan	33192
Bordeaux	33	Le Haillan	33200
Bordeaux	33	Izon	33207
Bordeaux	33	Langoiran	33226
Bordeaux	33	Latresne	33234
Bordeaux	33	Léognan	33238
Bordeaux	33	Lestiac-sur-Garonne	33241
Bordeaux	33	Lignan-de-Bordeaux	33245
Bordeaux	33	Lormont	33249
Bordeaux	33	Martignas-sur-Jalle	33273
Bordeaux	33	Martillac	33274
Bordeaux	33	Mérignac	33281
Bordeaux	33	Montussan	33293
Bordeaux	33	Nérigean	33303
Bordeaux	33	Paillet	33311
Bordeaux	33	Parempuyre	33312
Bordeaux	33	Pessac	33318
Bordeaux	33	Le Pian-Médoc	33322
Bordeaux	33	Pompignac	33330
Bordeaux	33	Prignac-et-Marcamps	33339
Bordeaux	33	Quinsac	33349
Bordeaux	33	Sadirac	33363
Bordeaux	33	Saint-André-de-Cubzac	33366
Bordeaux	33	Saint-Aubin-de-Médoc	33376
Bordeaux	33	Saint-Caprais-de-Bordeaux	33381
Bordeaux	33	Sainte-Eulalie	33397
Bordeaux	33	Saint-Gervais	33415
Bordeaux	33	Saint-Jean-d'Illac	33422
Bordeaux	33	Saint-Laurent-d'Arce	33425
Bordeaux	33	Saint-Loubès	33433
Bordeaux	33	Saint-Médard-d'Eyrans	33448
Bordeaux	33	Saint-Médard-en-Jalles	33449
Bordeaux	33	Saint-Quentin-de-Baron	33466
Bordeaux	33	Saint-Sulpice-et-Cameyrac	33483
Bordeaux	33	Saint-Vincent-de-Paul	33487
Bordeaux	33	Sallebœuf	33496
Bordeaux	33	Tabanac	33518
Bordeaux	33	Le Taillan-Médoc	33519
Bordeaux	33	Talence	33522
Bordeaux	33	Le Tourne	33534
Bordeaux	33	Tresses	33535
Bordeaux	33	Vayres	33539
Bordeaux	33	Villenave-d'Ornon	33550
Bordeaux	33	Virsac	33553
Bordeaux	33	Yvrac	33554
Caen	14	Baron-sur-Odon	14042
Caen	14	Biéville-Beuville	14068
Caen	14	Bretteville-sur-Odon	14101
Caen	14	Caen	14118
Caen	14	Carpiquet	14137
Caen	14	Colombelles	14167
Caen	14	Cormelles-le-Royal	14181
Caen	14	Cuverville	14215
Caen	14	Démouville	14221
Caen	14	Épron	14242
Caen	14	Fleury-sur-Orne	14271
Caen	14	Fontaine-Étoupefour	14274
Caen	14	Giberville	14301
Caen	14	Grainville-sur-Odon	14311
Caen	14	Grentheville	14319
Caen	14	Hérouville-Saint-Clair	14327
Caen	14	Ifs	14341
Caen	14	Mondeville	14437
Caen	14	Mondrainville	14438
Caen	14	Mouen	14454
Caen	14	Rots	14543
Caen	14	Saint-Germain-la-Blanche-Herbe	14587
Caen	14	Tourville-sur-Odon	14707
Caen	14	Verson	14738
Cayenne	973	Cayenne	97302
Cayenne	973	Matoury	97307
Cayenne	973	Remire-Montjoly	97309
Chambéry	73	Aix-les-Bains	73008
Chambéry	73	Apremont	73017
Chambéry	73	Barberaz	73029
Chambéry	73	Barby	73030
Chambéry	73	Bassens	73031
Chambéry	73	Bourdeau	73050
Chambéry	73	Le Bourget-du-Lac	73051
Chambéry	73	Brison-Saint-Innocent	73059
Chambéry	73	Challes-les-Eaux	73064
Chambéry	73	Chambéry	73065
Chambéry	73	Chignin	73084
Chambéry	73	Cognin	73087
Chambéry	73	Drumettaz-Clarafond	73103
Chambéry	73	Grésy-sur-Aix	73128
Chambéry	73	Jacob-Bellecombette	73137
Chambéry	73	Porte-de-Savoie	73151
Chambéry	73	Méry	73155
Chambéry	73	Montagnole	73160
Chambéry	73	La Motte-Servolex	73179
Chambéry	73	Mouxy	73182
Chambéry	73	Myans	73183
Chambéry	73	Pugny-Chatenod	73208
Chambéry	73	La Ravoire	73213
Chambéry	73	Saint-Alban-Leysse	73222
Chambéry	73	Saint-Baldoph	73225
Chambéry	73	Saint-Cassin	73228
Chambéry	73	Saint-Jean-d'Arvey	73243
